cohort_month,customers,revenue,ltv
2016-09,1,143.46,143.46
2016-10,265,46490.66,175.4364528301887
2016-12,1,19.62,19.62
2017-01,750,127482.37,169.97649333333334
2017-02,1653,271239.32,164.08912280701756
2017-03,2546,414330.95,162.73800078554595
2017-04,2303,390812.4,169.6970907511941
2017-05,3546,566851.4,159.85657078398197
2017-06,3135,490050.37,156.31590749601276
2017-07,3872,566299.08,146.2549276859504
2017-08,4193,645832.36,154.02632005723825
2017-09,4150,701077.49,168.93433493975903
2017-10,4478,751117.01,167.73492853952658
2017-11,7289,1153364.2,158.23352997667718
2017-12,5513,843078.29,152.92550154181026
2018-01,7069,1077887.46,152.48089687367377
2018-02,6555,966168.41,147.39411289092297
2018-03,7003,1120598.24,160.01688419248893
2018-04,6798,1132878.93,166.64885701676963
2018-05,6749,1128774.52,167.2506326863239
2018-06,6099,1011978.29,165.9252811936383
2018-07,6159,1027807.28,166.8789219029063
2018-08,6351,985491.64,155.17109746496615
